time,current,voltage,soc_true
303,0.579928,3.97145,0.783516
304,0.957642,4.00758,0.783427
305,0.463212,3.98534,0.783384
306,0.847247,4.04843,0.783306
307,0.541239,4.11031,0.783256
308,0.358822,4.06835,0.783222
309,0.485634,4.10527,0.783177
310,0.709954,4.18223,0.783112
311,0.749848,4.06318,0.783042
312,0.470503,4.2284,0.782999
313,0.263704,4.0669,0.782974
314,0.475169,4.29585,0.78293
315,0.245975,3.97397,0.782908
316,0.256558,4.10439,0.782884
317,0.899291,3.99117,0.782801
318,0.754048,4.07619,0.782731
319,0.882969,4.01452,0.782649
320,0.275701,4.09057,0.782623
321,0.404025,3.97321,0.782586
322,0.761061,4.00982,0.782516
323,0.328299,3.95595,0.782485
324,0.585902,4.00832,0.782431
325,0.690104,3.96827,0.782367
326,0.94643,3.88773,0.782279
327,0.246969,4.16667,0.782256
328,0.651486,4.07477,0.782196
329,0.654072,4.16908,0.782136
330,0.448611,3.91709,0.782094
331,0.992682,3.9005,0.782002
332,0.56481,3.95346,0.78195
333,0.712118,3.97325,0.781884
334,0.394612,4.0109,0.781847
335,0.72669,4.01323,0.78178
336,0.519221,3.82698,0.781732
337,0.804893,3.99469,0.781657
338,0.283683,4.02969,0.781631
339,0.94406,3.99612,0.781544
340,0.822649,3.9773,0.781468
341,0.294694,3.91286,0.78144
342,0.857578,3.98905,0.781361
343,0.950225,4.07896,0.781273
344,0.666143,4.07488,0.781211
345,0.691341,3.84529,0.781147
346,0.729431,3.95754,0.78108
347,0.405117,4.08431,0.781042
348,0.753311,3.94198,0.780972
349,0.907079,4.12295,0.780888
350,0.925832,3.98456,0.780803
351,0.449546,4.01423,0.780761
352,0.348129,3.99448,0.780729
353,0.40892,4.02717,0.780691
354,0.280762,3.97209,0.780665
355,0.814683,3.88826,0.78059
356,0.289753,4.14069,0.780563
357,0.287773,4.0784,0.780536
358,0.820615,3.97905,0.78046
359,0.974168,3.99395,0.78037
360,0.353233,3.96999,0.780337
361,0.816747,4.03576,0.780262
362,0.923785,4.12254,0.780176
363,0.475139,3.94483,0.780132
364,0.892285,3.97646,0.780049
365,0.815558,3.89552,0.779974
366,0.686817,3.92656,0.77991
367,0.917411,3.99893,0.779825
368,0.934468,3.94055,0.779739
369,0.427415,3.85596,0.779699
370,0.693551,3.9299,0.779635
371,0.487393,3.73453,0.77959
372,0.57441,4.08306,0.779537
373,0.424474,3.91951,0.779497
374,0.830446,4.0028,0.779421
375,0.265849,4.05263,0.779396
376,0.865044,3.72392,0.779316
377,0.400852,3.86545,0.779279
378,0.375031,3.83201,0.779244
379,0.787284,3.95938,0.779171
380,0.933407,3.86975,0.779085
381,0.625058,3.9156,0.779027
382,0.27374,4.12913,0.779001
383,0.45027,4.06062,0.77896
384,0.567099,3.9927,0.778907
385,0.893527,3.9762,0.778825
386,0.858483,4.16083,0.778745
387,0.762227,3.95038,0.778674
388,0.910956,3.93736,0.77859
389,0.984383,4.06912,0.778499
390,0.568462,4.10076,0.778446
391,0.908266,4.16465,0.778362
392,0.434822,4.11741,0.778322
393,0.500065,4.0394,0.778276
394,0.773545,3.91005,0.778204
395,0.554095,3.98454,0.778153
396,0.646035,3.94545,0.778093
397,0.727617,4.09345,0.778026
398,0.713722,4.05356,0.777959
399,0.22251,3.98841,0.777939
400,0.591504,4.11943,0.777884
401,0.232144,4.16185,0.777863
402,0.522829,3.91262,0.777814
403,0.589025,4.0605,0.77776
404,0.212557,4.04243,0.77774
405,0.621996,4.03503,0.777682
406,0.779361,3.95413,0.77761
407,0.258226,4.05241,0.777586
408,0.896213,4.04872,0.777503
409,0.492763,3.87066,0.777458
410,0.270475,3.92945,0.777433
411,0.543751,4.04348,0.777382
412,0.661714,3.97013,0.777321
413,0.461491,3.97004,0.777278
414,0.745633,4.05481,0.777209
415,0.844481,4.02594,0.777131
416,0.680988,4.39646,0.777068
417,0.626579,3.8529,0.77701
418,0.964566,4.00105,0.776921
419,0.672268,3.84552,0.776858
420,0.652112,3.68782,0.776798
421,0.547374,4.03283,0.776747
422,0.472888,3.86376,0.776704
423,0.57397,3.97828,0.77665
424,0.575167,4.0016,0.776597
425,0.305364,4.06243,0.776569
426,0.318999,4.00809,0.776539
427,0.815315,3.88579,0.776464
428,0.396016,3.92808,0.776427
429,0.495564,3.93696,0.776381
430,0.284399,3.95895,0.776355
431,0.567882,3.93377,0.776302
432,0.471297,3.89082,0.776259
433,0.347265,3.89308,0.776227
434,0.629906,3.94952,0.776168
435,0.221693,4.08354,0.776148
436,0.803092,4.02421,0.776073
437,0.759731,3.9438,0.776003
