time,current,voltage,soc_true
223,0.975235,3.98268,0.787798
224,0.385104,4.01223,0.787763
225,0.205697,4.02135,0.787744
226,0.57184,4.00297,0.787691
227,0.69603,3.99662,0.787626
228,0.939191,3.98418,0.787539
229,0.372478,4.01257,0.787505
230,0.249898,4.01882,0.787482
231,0.289501,4.01694,0.787455
232,0.340952,4.01443,0.787423
233,0.884382,3.987,0.787341
234,0.515793,4.00539,0.787294
235,0.930771,3.98436,0.787207
236,0.823893,3.98949,0.787131
237,0.527714,4.00426,0.787082
238,0.747423,3.99311,0.787013
239,0.626119,3.99908,0.786955
240,0.55408,4.00263,0.786904
241,0.891146,3.98553,0.786821
242,0.457842,4.00721,0.786779
243,0.262286,4.01711,0.786755
244,0.369982,4.01179,0.78672
245,0.347728,4.01297,0.786688
246,0.375329,4.01164,0.786653
247,0.328506,4.01405,0.786623
248,0.365264,4.01227,0.786589
249,0.28208,4.01653,0.786563
250,0.357411,4.01281,0.78653
251,0.507874,4.00525,0.786483
252,0.41061,4.01013,0.786445
253,0.930546,3.98384,0.786359
254,0.579602,4.00131,0.786305
255,0.98757,3.98059,0.786214
256,0.989087,3.98019,0.786122
257,0.848187,3.98701,0.786043
258,0.595527,3.99957,0.785988
259,0.940114,3.98206,0.785901
260,0.554872,4.00128,0.78585
261,0.215546,4.0184,0.78583
262,0.565168,4.00087,0.785778
263,0.731675,3.99239,0.78571
264,0.682385,3.99473,0.785647
265,0.76514,3.99042,0.785576
266,0.370812,4.0102,0.785541
267,0.434641,4.00703,0.785501
268,0.617635,3.9978,0.785444
269,0.780587,3.98947,0.785372
270,0.902346,3.98313,0.785288
271,0.624816,3.99693,0.78523
272,0.943626,3.98072,0.785143
273,0.405221,4.00769,0.785105
274,0.293455,4.01339,0.785078
275,0.348274,4.01073,0.785046
276,0.204099,4.0181,0.785027
277,0.84655,3.98576,0.784949
278,0.348983,4.01071,0.784916
279,0.678131,3.99413,0.784854
280,0.366572,4.00978,0.78482
281,0.255209,4.01547,0.784796
282,0.827244,3.98666,0.784719
283,0.383125,4.00891,0.784684
284,0.653494,3.99528,0.784623
285,0.608509,3.99745,0.784567
286,0.877002,3.98378,0.784486
287,0.89224,3.98278,0.784403
288,0.698216,3.99235,0.784339
289,0.802999,3.98692,0.784264
290,0.95491,3.97905,0.784176
291,0.272929,4.01328,0.784151
292,0.635587,3.99506,0.784092
293,0.666736,3.9934,0.78403
294,0.209252,4.01644,0.784011
295,0.503256,4.00173,0.783964
296,0.836866,3.98484,0.783887
297,0.321868,4.01069,0.783857
298,0.520533,4.00073,0.783809
299,0.486415,4.00244,0.783764
300,0.838904,3.9846,0.783686
301,0.629467,3.99499,0.783628
302,0.627931,3.99498,0.783569
303,0.579928,3.99732,0.783516
304,0.957642,3.97816,0.783427
305,0.463212,4.0029,0.783384
306,0.847247,3.98349,0.783306
307,0.541239,3.99876,0.783256
308,0.358822,4.00796,0.783222
309,0.485634,4.00163,0.783177
310,0.709954,3.99028,0.783112
311,0.749848,3.98813,0.783042
312,0.470503,4.00211,0.782999
313,0.263704,4.01259,0.782974
314,0.475169,4.00202,0.78293
315,0.245975,4.01362,0.782908
316,0.256558,4.01322,0.782884
317,0.899291,3.98083,0.782801
318,0.754048,3.98793,0.782731
319,0.882969,3.98124,0.782649
320,0.275701,4.01173,0.782623
321,0.404025,4.00536,0.782586
322,0.761061,3.98734,0.782516
323,0.328299,4.00907,0.782485
324,0.585902,3.99612,0.782431
325,0.690104,3.99079,0.782367
326,0.94643,3.97769,0.782279
327,0.246969,4.01281,0.782256
328,0.651486,3.99248,0.782196
329,0.654072,3.99225,0.782136
330,0.448611,4.00254,0.782094
331,0.992682,3.97503,0.782002
332,0.56481,3.99638,0.78195
333,0.712118,3.98888,0.781884
334,0.394612,4.00481,0.781847
335,0.72669,3.98807,0.78178
336,0.519221,3.99842,0.781732
337,0.804893,3.98395,0.781657
338,0.283683,4.01013,0.781631
339,0.94406,3.97684,0.781544
340,0.822649,3.98272,0.781468
341,0.294694,4.00924,0.78144
342,0.857578,3.98087,0.781361
343,0.950225,3.97597,0.781273
344,0.666143,3.99008,0.781211
345,0.691341,3.98871,0.781147
346,0.729431,3.98667,0.78108
347,0.405117,4.00295,0.781042
348,0.753311,3.98539,0.780972
349,0.907079,3.97747,0.780888
350,0.925832,3.97629,0.780803
351,0.449546,4.00014,0.780761
352,0.348129,4.00531,0.780729
353,0.40892,4.00234,0.780691
354,0.280762,4.00888,0.780665
355,0.814683,3.982,0.78059
356,0.289753,4.00837,0.780563
357,0.287773,4.00859,0.780536
358,0.820615,3.98176,0.78046
359,0.974168,3.97379,0.78037
360,0.353233,4.00493,0.780337
361,0.816747,3.98157,0.780262
362,0.923785,3.97596,0.780176
363,0.475139,3.99842,0.780132
364,0.892285,3.97733,0.780049
365,0.815558,3.98099,0.779974
366,0.686817,3.98732,0.77991
367,0.917411,3.97556,0.779825
368,0.934468,3.97446,0.779739
369,0.427415,3.99987,0.779699
370,0.693551,3.98647,0.779635
371,0.487393,3.9968,0.77959
372,0.57441,3.99242,0.779537
373,0.424474,3.99997,0.779497
374,0.830446,3.97949,0.779421
375,0.265849,4.00787,0.779396
376,0.865044,3.97771,0.779316
377,0.400852,4.00099,0.779279
378,0.375031,4.00236,0.779244
379,0.787284,3.98158,0.779171
380,0.933407,3.97403,0.779085
381,0.625058,3.98938,0.779027
382,0.27374,4.0071,0.779001
383,0.45027,3.99831,0.77896
384,0.567099,3.99243,0.778907
385,0.893527,3.97588,0.778825
386,0.858483,3.97743,0.778745
387,0.762227,3.9821,0.778674
388,0.910956,3.97443,0.77859
389,0.984383,3.97049,0.778499
390,0.568462,3.99127,0.778446
391,0.908266,3.97405,0.778362
392,0.434822,3.99779,0.778322
393,0.500065,3.99455,0.778276
394,0.773545,3.98073,0.778204
395,0.554095,3.99169,0.778153
396,0.646035,3.98702,0.778093
397,0.727617,3.98283,0.778026
398,0.713722,3.98342,0.777959
399,0.22251,4.00816,0.777939
400,0.591504,3.98968,0.777884
401,0.232144,4.00782,0.777863
402,0.522829,3.99328,0.777814
403,0.589025,3.98993,0.77776
404,0.212557,4.00893,0.77774
405,0.621996,3.98839,0.777682
406,0.779361,3.98036,0.77761
407,0.258226,4.00657,0.777586
408,0.896213,3.97444,0.777503
409,0.492763,3.99462,0.777458
410,0.270475,4.00587,0.777433
411,0.543751,3.99218,0.777382
412,0.661714,3.98619,0.777321
413,0.461491,3.99622,0.777278
414,0.745633,3.98187,0.777209
415,0.844481,3.97672,0.777131
416,0.680988,3.98479,0.777068
417,0.626579,3.98744,0.77701
418,0.964566,3.97027,0.776921
419,0.672268,3.98479,0.776858
420,0.652112,3.98571,0.776798
421,0.547374,3.99093,0.776747
422,0.472888,3.99468,0.776704
423,0.57397,3.98959,0.77665
424,0.575167,3.98949,0.776597
425,0.305364,4.0031,0.776569
426,0.318999,4.00253,0.776539
427,0.815315,3.97752,0.776464
428,0.396016,3.99855,0.776427
429,0.495564,3.99357,0.776381
430,0.284399,4.00426,0.776355
431,0.567882,3.99004,0.776302
432,0.471297,3.99488,0.776259
433,0.347265,4.00116,0.776227
434,0.629906,3.98694,0.776168
435,0.221693,4.0075,0.776148
436,0.803092,3.97824,0.776073
437,0.759731,3.98024,0.776003
438,0.631949,3.98654,0.775945
439,0.439269,3.9962,0.775904
440,0.56979,3.98962,0.775851
441,0.698969,3.98303,0.775786
442,0.587129,3.98856,0.775732
443,0.932843,3.97101,0.775646
444,0.58526,3.98833,0.775591
445,0.49196,3.993,0.775546
446,0.776469,3.9786,0.775474
447,0.58887,3.98792,0.77542
448,0.799476,3.97721,0.775345
449,0.836391,3.97516,0.775268
450,0.618707,3.98597,0.775211
451,0.341916,3.99991,0.775179
452,0.676024,3.98309,0.775116
453,0.662104,3.98369,0.775055
454,0.580892,3.9877,0.775001
455,0.85441,3.97382,0.774922
456,0.347198,3.99927,0.77489
457,0.370097,3.9982,0.774856
458,0.820228,3.9755,0.77478
459,0.257158,4.0038,0.774756
460,0.630683,3.98504,0.774698
